,드라마 이름,방송사,부작,요일시간,배우_방송,배우_영화,연출_드라마,연출_영화,작가_드라마,작가_영화,강수량,기온,스포츠 대회,장르,평균시청률,start
612,세상에서 가장 아름다운 이별,tvN,4,24C,39.4,21.6,16.0,0.0,22.0,1.0,0.30000000000000004,-2.322222222222222,0,드라마,4.1499999999999995,2017-12-09
613,변혁의 사랑,tvN,16,24C,21.2,8.4,18.0,0.0,0.0,0.0,0.3254901960784314,8.8921568627451,0,드라마,2.9124999999999996,2017-10-14
614,달콤한 원수,SBS,124,22B,25.4,7.4,11.0,0.0,5.0,0.0,4.396531791907514,19.273410404624276,0,드라마,12.0,2017-06-12
615,보그맘,MBC,12,10C,28.4,10.8,11.0,0.0,11.0,0.0,1.3679487179487175,12.788461538461542,0,드라마,2.7,2017-09-15
616,매드독,KBS2,16,9C,15.4,18.2,27.0,0.0,5.0,0.0,0.6215686274509806,9.650980392156864,0,액션,6.78125,2017-10-11
617,20세기 소년소녀,MBC,32,3C,21.8,13.2,14.0,0.0,5.0,0.0,0.650980392156863,10.28235294117647,0,로맨스,3.93125,2017-10-09
618,마녀의 법정,KBS2,16,3C,29.0,7.6,8.0,0.0,5.0,0.0,0.650980392156863,10.28235294117647,0,"수사물,서스펜스,액션,법정",9.5,2017-10-09
619,이번 생은 처음이라,tvN,16,3C,16.2,15.0,19.0,0.0,6.0,0.0,0.650980392156863,10.28235294117647,0,드라마,3.4499999999999997,2017-10-09
620,돌아온 복단지,MBC,122,22B,42.2,9.0,7.0,0.0,6.0,0.0,4.047422680412372,19.884020618556697,0,드라마,12.69,2017-05-15
621,사랑의 온도,SBS,40,3C,12.4,7.0,4.0,0.0,7.0,0.0,1.5046153846153842,13.77384615384616,0,로맨스,7.513333333333332,2017-09-18
622,고백부부,KBS2,12,21C,23.6,4.8,5.0,0.0,3.0,0.0,0.24594594594594593,11.189189189189193,0,"판타지,로맨스,드라마",5.7749999999999995,2017-10-13
623,더 패키지,JTBC,12,21C,20.6,13.4,11.0,0.0,0.0,0.0,0.24594594594594593,11.189189189189193,0,드라마,1.825,2017-10-13
624,당신이 잠든 사이에,SBS,32,9C,16.2,6.4,7.0,0.0,11.0,0.0,1.8372549019607838,13.656862745098044,0,"판타지,로맨스,드라마",8.343333333333332,2017-09-27
625,부암동 복수자들,tvN,12,9C,18.8,17.6,12.0,0.0,0.0,0.0,0.6621621621621624,11.829729729729731,0,드라마,5.1499999999999995,2017-10-11
626,별별 며느리,MBC,100,3C,31.4,10.4,10.0,1.0,5.0,0.0,4.7319018404907975,20.934969325153368,0,드라마,7.050000000000001,2017-06-05
627,무궁화 꽃이 피었습니다,KBS1,120,22B,13.4,4.6,11.0,0.0,6.0,0.0,4.677710843373495,21.262650602409636,0,"드라마,수사물",20.59,2017-05-29
628,병원선,MBC,40,9C,8.6,6.0,7.0,0.0,8.0,0.0,2.4523076923076923,17.821538461538466,0,"메디컬,가족",6.5,2017-08-30
629,언니는 살아있다,SBS,68,11C,20.8,4.6,12.0,0.0,13.0,0.0,4.4612021857923505,21.528415300546456,0,"서스펜스,액션,수사물,막장",13.4,2017-04-15
630,청춘시대 2,JTBC,14,21C,15.8,8.2,13.0,1.0,9.0,9.0,3.431818181818181,20.454545454545453,0,드라마,2.7857142857142856,2017-08-25
631,란제리 소녀시대,KBS2,8,3C,8.4,4.6,15.0,0.0,8.0,0.0,4.8,19.856521739130436,0,로맨스,4.2875,2017-09-11
632,명불허전,tvN,16,24C,26.0,14.6,16.0,0.0,0.0,0.0,6.101960784313725,21.952941176470585,0,"드라마,메디컬,로맨스",5.40625,2017-08-12
633,맨홀 - 이상한 나라의 필,KBS2,16,9C,18.4,12.8,9.0,0.0,0.0,0.0,6.394117647058823,22.488235294117644,0,"판타지,드라마",2.14375,2017-08-09
634,크리미널마인드,tvN,20,9C,22.4,13.0,3.0,18.0,0.0,0.0,5.733846153846153,23.46307692307693,0,"수사물,서스펜스,액션",2.765,2017-07-26
635,아르곤,tvN,8,3C,16.8,28.6,9.0,0.0,3.0,0.0,3.0782608695652174,20.94782608695652,0,드라마,2.7125000000000004,2017-09-04
636,비밀의 숲,tvN,16,24C,18.0,22.4,11.0,1.0,3.0,0.0,6.456862745098039,24.87254901960784,0,"수사물,서스펜스,액션,드라마",4.5625,2017-06-10
637,최강 배달꾼,KBS2,16,21C,20.4,13.2,14.0,0.0,3.0,0.0,6.0627450980392155,23.254901960784313,0,"드라마,로맨스,가족",5.84375,2017-08-04
638,다시 만난 세계,SBS,40,9C,21.4,7.2,14.0,0.0,15.0,1.0,6.01076923076923,24.23538461538462,0,"판타지,로맨스,드라마",6.246666666666666,2017-07-19
639,왕은 사랑한다,MBC,40,3C,32.6,17.0,15.0,0.0,26.0,3.0,6.1523076923076925,24.458461538461545,0,사극,6.646666666666666,2017-07-17
640,이름 없는 여자,KBS2,102,22B,25.6,8.0,12.0,0.0,8.0,0.0,4.871034482758621,22.541379310344826,0,드라마,20.756666666666664,2017-04-24
641,조작,SBS,32,3C,24.6,24.2,0.0,0.0,2.0,0.0,7.184313725490195,24.55686274509805,0,"수사물,서스펜스,액션",11.013333333333332,2017-07-24
642,학교 2017,KBS2,16,3C,13.2,4.2,13.0,0.0,0.0,0.0,6.492156862745098,25.35098039215687,0,드라마,4.45625,2017-07-17
643,터널,OCN,16,24C,21.4,16.8,0.0,0.0,3.0,0.0,1.7379310344827585,14.612068965517244,0,"수사물,서스펜스,액션",4.675000000000001,2017-03-25
644,보이스,OCN,16,24C,23.8,10.4,15.0,1.0,6.0,2.0,0.7879310344827587,1.110344827586207,0,"수사물,서스펜스,액션",4.731249999999999,2017-01-14
645,죽어야 사는 남자,MBC,24,9C,21.2,24.6,11.0,0.0,0.0,0.0,8.308108108108108,26.38648648648649,0,드라마,10.3125,2017-07-19
646,하백의 신부 2017,tvN,16,3C,15.8,7.2,11.0,1.0,8.0,0.0,9.496078431372549,26.270588235294117,0,드라마,3.11875,2017-07-03
647,품위있는 그녀,JTBC,20,21C,24.8,15.2,12.0,1.0,7.0,1.0,7.546153846153846,25.629230769230762,0,드라마,6.590000000000001,2017-06-16
648,TV소설 그 여자의 바다,KBS2,120,22A,14.0,1.6,3.0,0.0,4.0,0.0,3.1951807228915663,17.90240963855422,0,"드라마,소설",9.766666666666667,2017-02-27
649,7일의 왕비,KBS2,20,9C,31.6,19.2,17.0,0.0,0.0,0.0,5.753846153846153,24.210769230769234,0,"사극,로맨스",5.91,2017-05-31
650,나쁜 녀석들 : 악의 도시,OCN,16,24C,10.6,24.6,5.0,0.0,6.0,1.0,0.7450980392156863,-1.5098039215686274,0,"수사물,서스펜스,액션",3.7249999999999996,2017-12-16
651,블랙,OCN,18,24C,23.8,15.4,15.0,1.0,10.0,0.0,0.3655172413793103,7.92241379310345,0,"수사물,서스펜스,액션",3.3277777777777775,2017-10-14
652,최고의 한방,KBS2,32,21C,23.4,10.0,11.0,0.0,12.0,0.0,5.73921568627451,23.835294117647063,0,드라마,3.826666666666667,2017-06-02
653,엽기적인 그녀,SBS,32,3C,19.6,9.2,14.0,0.0,0.0,0.0,5.735294117647059,23.366666666666667,0,"사극,로맨스",8.826666666666664,2017-05-29
654,군주 - 가면의 주인,MBC,40,9C,25.8,12.4,10.0,0.0,1.0,0.0,3.6769230769230763,21.740000000000002,0,"수사물,로맨스,드라마",12.556666666666667,2017-05-10
655,수상한 파트너,SBS,40,9C,28.2,12.6,0.0,0.0,7.0,0.0,3.6769230769230763,21.740000000000002,0,"법정,로맨스,코메디",8.546666666666665,2017-05-10
656,"쌈, 마이웨이",KBS2,16,3C,19.6,22.8,8.0,1.0,5.0,0.0,4.554901960784313,22.341176470588234,0,"로맨스,코메디,드라마",10.89375,2017-05-22
657,파수꾼,MBC,32,3C,25.0,12.4,8.0,0.0,0.0,0.0,4.554901960784313,22.341176470588234,0,"수사물,서스펜스,액션",7.473333333333334,2017-05-22
658,초인가족 2017,SBS,40,1C,28.4,22.2,9.0,0.0,0.0,0.0,1.9216417910447756,14.514925373134329,0,시트콤,4.063333333333333,2017-02-20
659,써클 : 이어진 두 세계,tvN,12,3C,20.2,9.4,9.0,0.0,2.0,0.0,1.6567567567567565,21.121621621621625,0,"수사물,액션",2.141666666666667,2017-05-22
660,맨투맨,JTBC,16,21C,27.4,14.4,14.0,0.0,4.0,4.0,1.011764705882353,18.249019607843135,0,"액션,코메디",3.1812500000000004,2017-04-21
661,시카고 타자기,tvN,16,21B,12.6,17.0,16.0,0.0,12.0,0.0,1.1413793103448275,17.020689655172415,0,"로맨스,드라마,판타지,코메디",2.23125,2017-04-07
662,애타는 로맨스,OCN,13,3C,14.4,5.8,6.0,7.0,0.0,0.0,1.0977272727272729,17.334090909090914,0,로맨스,0.5,2017-04-17
663,추리의 여왕,KBS2,16,9C,21.4,14.0,8.0,0.0,3.0,0.0,1.7313725490196077,16.32352941176471,0,"수사물,서스펜스,액션",9.49375,2017-04-05
664,귓속말,SBS,17,3C,29.4,12.0,15.0,0.0,8.0,0.0,1.6379310344827587,15.081034482758623,0,"수사물,서스펜스,액션,로맨스",15.576470588235296,2017-03-27
665,구해줘,OCN,16,24C,22.4,21.2,1.0,6.0,3.0,0.0,6.0627450980392155,23.10980392156863,0,"수사물,서스펜스,액션",2.4749999999999996,2017-08-05
666,역적 : 백성을 훔친 도적,MBC,30,3C,22.4,10.2,10.0,0.0,3.0,1.0,1.3177570093457942,8.695327102803738,0,"사극,액션,로맨스",11.743333333333334,2017-01-30
667,그녀는 거짓말을 너무 사랑해,tvN,16,3C,12.8,5.4,11.0,0.0,0.0,0.0,1.9313725490196076,13.076470588235294,0,"음악,로맨스",1.475,2017-03-20
668,사임당 빛의 일기,SBS,28,9C,27.6,9.0,12.0,2.0,5.0,0.0,1.2656565656565655,7.361616161616161,0,"판타지,로맨스,드라마",10.182142857142855,2017-01-26
669,자체발광 오피스,MBC,16,9C,14.6,14.2,8.0,0.0,0.0,0.0,1.6392156862745093,12.054901960784314,0,"로맨스,코메디",5.86875,2017-03-15
670,완벽한 아내,KBS2,20,3C,25.4,7.6,15.0,0.0,8.0,0.0,1.3707692307692307,10.06307692307692,0,"가족,드라마",4.995,2017-02-27
671,힘쎈여자 도봉순,JTBC,16,21C,19.4,10.0,14.0,1.0,7.0,1.0,1.3274509803921568,7.927450980392156,0,"판타지,로맨스,코메디,수사물,액션,서스펜스",7.65,2017-02-24
672,김과장,KBS2,20,9C,23.4,11.2,7.0,0.0,11.0,1.0,0.8676923076923079,3.5200000000000005,0,"코메디,드라마",15.86,2017-01-25
673,내일 그대와,tvN,16,21B,14.8,18.4,6.0,0.0,7.0,4.0,0.8980392156862745,3.8352941176470594,0,"판타지,로맨스",1.725,2017-02-03
674,피고인,SBS,18,3C,20.8,4.4,8.0,0.0,3.0,0.0,0.7948275862068965,2.58448275862069,0,"수사물,서스펜스,액션",21.688888888888886,2017-01-23
675,한국사기,KBS1,10,13C,0.0,0.0,0.0,0.0,0.0,0.0,0.6500000000000001,1.935897435897436,0,다큐,4.64,2017-01-01
676,내성적인 보스,tvN,16,3C,18.8,9.6,18.0,0.0,5.0,2.0,0.7982758620689656,1.5103448275862073,0,"로맨스,코메디,드라마",1.99375,2017-01-16
677,듀얼,OCN,16,24C,10.0,11.4,0.0,0.0,9.0,0.0,5.996078431372548,23.988235294117647,0,"수사물,서스펜스,액션",1.71875,2017-06-03
678,미씽나인,MBC,16,9C,18.2,21.0,7.0,0.0,2.0,0.0,0.8960784313725491,1.1470588235294121,0,"수사물,서스펜스,액션,코메디",4.55,2017-01-18
679,맨몸의 소방관,KBS2,4,9C,23.8,14.4,13.0,0.0,6.0,0.0,0.0625,-1.925,0,"수사물,서스펜스,액션",4.25,2017-01-12
680,강남스캔들,SBS,123,22A,17.4,5.4,13.0,1.0,0.0,0.0,1.0763005780346817,5.980924855491328,0,드라마,7.283333333333331,2018-11-26
681,비켜라 운명아,KBS1,124,22B,20.8,3.4,4.0,1.0,0.0,0.0,1.24393063583815,4.972832369942197,0,드라마,20.516666666666662,2018-11-05
682,하나뿐인 내편,KBS2,106,24B,20.4,3.8,15.0,0.0,7.0,0.0,1.8701086956521746,6.420108695652176,0,"막장,로맨스,코메디",39.276666666666664,2018-09-15
683,내 사랑 치유기,MBC,80,13C,41.8,8.4,5.0,0.0,5.0,0.0,0.9808510638297872,4.1425531914893625,0,드라마,13.42,2018-10-14
684,황후의 품격,SBS,52,9C,21.2,8.8,12.0,0.0,13.0,0.0,0.760215053763441,1.3301075268817197,0,"사극,로맨스,서스펜스,액션",13.906666666666668,2018-11-21
685,신과의 약속,MBC,48,11C,24.0,11.6,12.0,1.0,19.0,0.0,0.6305882352941178,1.1847058823529406,0,"로맨스,드라마,가족",14.513333333333332,2018-11-24
686,운명과 분노,SBS,40,11C,27.4,12.6,0.0,0.0,0.0,0.0,0.6859154929577466,0.8605633802816904,0,로맨스,6.106666666666668,2018-12-01
687,복수가 돌아왔다,SBS,32,3C,18.0,10.4,0.0,0.0,0.0,0.0,0.43157894736842106,0.39473684210526305,0,"로맨스,코메디,막장",5.346666666666667,2018-12-10
688,일단 뜨겁게 청소하라,JTBC,16,3C,23.4,13.0,10.0,0.0,5.0,0.0,0.6788732394366198,1.1816901408450704,0,"드라마,로맨스",2.80625,2018-11-26
689,SKY 캐슬,JTBC,20,21C,27.4,15.8,8.0,0.0,12.0,0.0,0.5591549295774649,1.2028169014084504,0,드라마,12.495000000000001,2018-11-23
690,나쁜형사,MBC,32,3C,9.8,13.0,11.0,0.0,0.0,0.0,0.5224137931034484,0.47586206896551725,0,"수사물,서스펜스,액션",6.923333333333332,2018-12-03
691,톱스타 유백이,tvN,11,10C,32.6,10.8,9.0,0.0,0.0,0.0,0.5126760563380283,1.8126760563380273,0,드라마,2.4454545454545453,2018-11-16
692,남자친구,tvN,16,9C,14.8,15.8,7.0,0.0,4.0,22.0,0.5224137931034484,0.987931034482759,0,로맨스,8.48125,2018-11-28
693,대장금이 보고있다,MBC,16,5C,16.2,2.6,11.0,0.0,11.0,0.0,0.9660377358490564,4.947169811320757,0,"코메디,드라마",1.19375,2018-10-11
694,알함브라 궁전의 추억,tvN,16,24C,24.6,7.4,11.0,1.0,12.0,0.0,0.5941176470588236,0.6745098039215689,0,드라마,8.4375,2018-12-01
695,프리스트,OCN,16,24C,13.2,17.8,2.0,5.0,0.0,0.0,0.5965517241379312,1.2672413793103448,0,드라마,1.9124999999999999,2018-11-24
696,차달래 부인의 사랑,KBS2,100,22A,37.4,23.0,11.0,0.0,15.0,0.0,2.692753623188407,9.000000000000002,0,"드라마,코메디",8.296666666666669,2018-09-03
697,붉은 달 푸른 해,MBC,32,9C,26.8,13.6,8.0,0.0,5.0,1.0,0.6140350877192984,1.4105263157894732,0,"서스펜스,액션,수사물",4.71,2018-11-21
698,비밀과 거짓말,MBC,122,22B,14.6,4.0,2.0,0.0,2.0,0.0,4.714427860696519,15.443283582089546,1,드라마,11.926666666666668,2018-06-25
699,신의 퀴즈 : 리부트,OCN,16,9C,19.4,13.6,0.0,0.0,0.0,0.0,0.5862068965517243,2.217241379310344,0,드라마,2.2750000000000004,2018-11-14
700,끝까지 사랑,KBS2,104,22B,20.6,6.8,12.0,0.0,13.0,0.0,4.101851851851853,14.845061728395054,1,드라마,14.896666666666667,2018-07-23
701,커피야 부탁해,채널A,12,24B,13.4,4.6,8.0,0.0,0.0,0.0,0.9133333333333336,1.296666666666667,0,드라마,0.3833333333333333,2018-12-01
702,열두밤,채널A,12,10C,20.2,9.4,2.0,2.0,0.0,0.0,1.2756410256410255,6.680769230769233,0,로맨스,0.35000000000000003,2018-10-12
703,죽어도 좋아,KBS2,32,9C,16.2,13.2,9.0,0.0,0.0,0.0,1.5176470588235293,4.674509803921567,0,코메디,2.6066666666666674,2018-11-07
704,계룡선녀전,tvN,16,3C,33.6,6.6,12.0,1.0,0.0,0.0,1.52156862745098,5.160784313725488,0,"코메디,로맨스,판타지",3.7875,2018-11-05
705,땐뽀걸즈,KBS2,16,3C,29.8,18.0,14.0,7.0,0.0,0.0,1.1782608695652175,1.917391304347826,0,"가족,드라마",2.275,2018-12-03
706,설렘주의보,MBN,16,9C,23.4,5.0,0.0,0.0,3.0,1.0,1.5039215686274505,5.6901960784313745,0,드라마,1.7937500000000002,2018-10-31
707,사의찬미,SBS,6,3C,26.0,12.6,0.0,0.0,0.0,0.0,2.625,7.5,0,"사극,로맨스",6.066666666666666,2018-11-27
708,단짠 오피스,MBC every1,10,10C,33.6,13.6,11.0,0.0,0.0,0.0,3.3890625,10.926562500000001,0,드라마,0.4,2018-09-28
709,시간이 멈추는 그때,KBS W,12,9C,13.0,7.4,6.0,3.0,0.0,0.0,1.6972972972972973,8.643243243243244,0,"판타지,로맨스,드라마",0.1,2018-10-24
710,배드파파,MBC,32,3C,17.0,7.8,0.0,0.0,0.0,0.0,3.6965517241379313,10.850000000000003,0,"가족,로맨스,액션",2.696666666666667,2018-10-01
711,최고의 이혼,KBS2,32,3C,17.2,17.2,8.0,0.0,0.0,0.0,1.4450980392156862,10.005882352941175,0,드라마,3.3600000000000003,2018-10-08
712,여우각시별,SBS,32,3C,16.8,8.2,0.0,0.0,17.0,0.0,3.76140350877193,10.903508771929829,0,"가족,로맨스,수사물,서스펜스,액션",8.11,2018-10-01
713,나인룸,tvN,16,24C,38.8,43.0,7.0,1.0,12.0,1.0,3.0372549019607846,10.450980392156865,0,드라마,4.45625,2018-10-06
714,미스 마:복수의 여신,SBS,32,11C,20.0,19.0,7.0,0.0,5.0,0.0,3.0980000000000003,10.546000000000001,0,"서스펜스,액션,수사물",5.846666666666667,2018-10-06
715,나도 엄마야,SBS,124,22A,24.0,2.6,12.0,0.0,5.0,0.0,5.206111111111112,20.249444444444446,1,드라마,9.5,2018-05-28
716,하늘에서 내리는 일억개의 별,tvN,16,9C,22.2,19.6,6.0,0.0,2.0,7.0,4.09607843137255,11.223529411764707,0,"로맨스,드라마,서스펜스",2.875,2018-10-03
717,뷰티 인사이드,JTBC,16,3C,21.2,8.0,18.0,0.0,0.0,0.0,4.105882352941177,11.639215686274513,0,"판타지,로맨스,코메디,드라마",4.19375,2018-10-01
718,숨바꼭질,MBC,48,11C,34.4,15.4,0.0,0.0,4.0,0.0,6.365882352941177,15.975294117647056,1,"드라마,수사물",10.55,2018-08-25
719,제3의 매력,JTBC,16,21C,18.4,10.0,16.0,1.0,0.0,0.0,4.152941176470589,12.311764705882352,0,드라마,2.575,2018-09-28
720,내 뒤에 테리우스,MBC,32,9C,23.6,10.6,7.0,0.0,0.0,0.0,4.216,12.573999999999998,0,액션,8.57,2018-09-27
721,흉부외과:심장을 훔친 의사들,SBS,32,9C,29.0,12.8,8.0,0.0,3.0,0.0,4.216,12.573999999999998,0,"메디컬,드라마",7.103333333333335,2018-09-27
722,플레이어,OCN,14,24C,19.4,14.2,4.0,0.0,0.0,0.0,4.75,12.711363636363638,0,드라마,4.492857142857143,2018-09-29
723,빅 포레스트,tvN,10,10C,38.4,15.2,0.0,0.0,0.0,0.0,4.2625,15.2375,0,드라마,1.33,2018-09-07
724,내일도 맑음,KBS1,121,22B,15.8,4.2,6.0,1.0,2.0,0.0,5.425000000000001,21.310000000000002,1,드라마,19.913333333333334,2018-05-07
725,손 the guest,OCN,16,9C,36.4,27.0,15.0,1.0,5.0,0.0,4.439215686274511,15.35686274509804,0,"서스펜스,액션,드라마",3.03125,2018-09-12
726,오늘의 탐정,KBS2,32,9C,22.4,11.0,7.0,0.0,0.0,0.0,4.080701754385966,16.189473684210522,0,"수사물,서스펜스,액션",2.573333333333333,2018-09-05
727,백일의 낭군님,tvN,16,3C,17.2,21.0,0.0,0.0,6.0,0.0,4.441176470588236,15.841176470588234,0,"수사물,로맨스,사극",9.01875,2018-09-10
728,마성의 기쁨,드라맥스,16,9C,13.2,3.8,0.0,0.0,0.0,0.0,4.315686274509804,16.945098039215686,0,드라마,0.25625,2018-09-05
729,부잣집 아들,MBC,100,13C,33.8,5.6,8.0,1.0,18.0,0.0,5.68832487309645,20.917766497461926,1,"드라마,로맨스",8.376666666666667,2018-03-25
730,러블리 호러블리,KBS2,32,3C,25.6,7.2,0.0,0.0,0.0,0.0,7.660784313725491,22.370588235294118,1,"로맨스,코메디",3.670000000000001,2018-08-13
731,미스터 션샤인,tvN,24,24C,16.4,19.6,22.0,0.0,13.0,2.0,5.124418604651163,24.97093023255814,1,"로맨스,드라마",12.950000000000001,2018-07-07
732,그녀로 말할 것 같으면,SBS,40,11C,28.8,11.2,13.0,0.0,7.0,0.0,5.4102564102564115,25.14487179487179,1,"수사물,로맨스,드라마",8.67,2018-07-14
733,시간,MBC,32,9C,15.2,17.2,9.0,0.0,3.0,0.0,6.762068965517243,25.58620689655173,1,로맨스,3.463333333333333,2018-07-25
734,아는 와이프,tvN,16,9C,19.6,11.2,13.0,0.0,10.0,0.0,7.611764705882355,25.056862745098037,1,드라마,6.81875,2018-08-01
735,친애하는 판사님께,SBS,32,9C,16.2,11.4,9.0,0.0,0.0,0.0,6.762068965517243,25.58620689655173,1,"법정,코메디",7.040000000000002,2018-07-25
736,서른이지만 열일곱입니다,SBS,32,3C,15.6,9.0,24.0,0.0,6.0,0.0,6.503448275862071,25.913793103448278,1,"로맨스,코메디,가족",9.156666666666666,2018-07-23
737,사생결단 로맨스,MBC,32,3C,28.4,7.6,8.0,0.0,5.0,0.0,6.617543859649125,26.0,1,"로맨스,드라마",2.7500000000000004,2018-07-23
738,보이스 시즌2,OCN,12,24C,17.0,10.4,6.0,0.0,6.0,2.0,9.332432432432434,24.36216216216216,1,수사물,4.933333333333334,2018-08-11
739,내 아이디는 강남미인,JTBC,16,21C,17.6,2.6,10.0,0.0,4.0,0.0,7.386274509803924,25.852941176470583,1,드라마,4.25,2018-07-27
740,라이프,JTBC,16,3C,13.4,19.6,16.0,0.0,3.0,0.0,7.066666666666668,26.5078431372549,1,"메디컬,드라마",4.737499999999999,2018-07-23
741,같이 살래요,KBS2,50,24B,26.0,14.2,10.0,0.0,5.0,0.0,5.381920903954805,20.55875706214689,1,"가족,로맨스",30.28666666666667,2018-03-17
742,TV소설 파도야 파도야,KBS2,143,22A,7.2,0.4,17.0,0.0,5.0,0.0,4.898507462686569,17.83880597014925,1,드라마,8.74,2018-02-12
743,마녀의 사랑,MBN,12,9C,34.4,12.8,14.0,0.0,3.0,0.0,6.870270270270271,27.794594594594603,1,드라마,1.2666666666666668,2018-07-25
744,당신의 하우스헬퍼,KBS2,32,9C,14.8,5.4,14.0,0.0,0.0,0.0,4.968421052631578,27.29824561403509,1,로맨스,3.196666666666667,2018-07-04
745,식샤를 합시다 3 : 비긴즈,tvN,14,3C,14.2,3.4,10.0,0.0,17.0,0.0,5.047727272727273,28.07045454545454,1,로맨스,2.4857142857142853,2018-07-16
746,너도 인간이니?,KBS2,36,3C,15.2,3.4,12.0,0.0,5.0,0.0,4.907692307692311,25.20769230769231,1,"판타지,로맨스",5.473333333333333,2018-06-04
747,라이프 온 마스,OCN,16,24C,17.6,23.0,23.0,0.0,4.0,0.0,5.246551724137933,25.32586206896552,1,드라마,4.0,2018-06-09
748,이별이 떠났다,MBC,40,11C,23.2,10.8,11.0,0.0,2.0,5.0,4.343661971830987,24.5112676056338,1,"드라마,가족",7.620000000000001,2018-05-26
749,김비서가 왜 그럴까,tvN,16,9C,19.2,5.6,19.0,0.0,15.0,0.0,5.854901960784314,24.309803921568626,1,드라마,7.4625,2018-06-06
750,인형의 집,KBS2,103,22B,26.4,4.2,1.0,0.0,0.0,0.0,4.8068965517241375,16.5,1,드라마,13.743333333333332,2018-02-26
751,이리와 안아줘,MBC,32,9C,16.6,9.8,8.0,0.0,0.0,0.0,5.495384615384616,22.335384615384612,1,드라마,4.5633333333333335,2018-05-16
752,훈남정음,SBS,32,9C,29.0,9.2,0.0,0.0,0.0,0.0,5.479310344827587,22.818965517241374,1,"로맨스,코메디",3.5066666666666655,2018-05-23
753,검법남녀,MBC,32,3C,16.2,13.2,10.0,0.0,0.0,0.0,5.495384615384616,22.118461538461535,1,"수사물,메디컬,법정,서스펜스",7.003333333333332,2018-05-14
754,기름진 멜로,SBS,38,3C,31.2,16.6,0.0,0.0,8.0,0.0,5.4125000000000005,21.50277777777778,1,로맨스,6.346666666666668,2018-05-07
755,미스 함무라비,JTBC,16,3C,21.6,15.6,13.0,0.0,2.0,0.0,5.691228070175439,22.33684210526316,1,법정,4.39375,2018-05-21
756,스케치,JTBC,16,21C,22.6,20.4,11.0,1.0,0.0,0.0,5.966666666666667,22.472549019607836,1,"액션,수사물,판타지",2.8000000000000003,2018-05-25
757,멈추고 싶은 순간 : 어바웃 타임,tvN,16,3C,20.0,3.6,12.0,0.0,0.0,0.0,6.3,21.717647058823527,1,드라마,1.59375,2018-05-21
758,시크릿 마더,SBS,32,11C,31.2,13.0,8.0,0.0,0.0,0.0,6.305263157894737,21.26666666666666,1,"드라마,서스펜스,액션",6.040000000000001,2018-05-12
759,무법 변호사,tvN,16,24C,12.8,16.8,11.0,0.0,2.0,3.0,5.421568627450981,21.011764705882353,1,"법정,액션,드라마",6.13125,2018-05-12
760,리치맨,드라맥스,16,9C,14.8,3.6,7.0,3.0,2.0,12.0,3.8058823529411763,20.53333333333333,1,드라마,0.21333333333333335,2018-05-09
761,슈츠,KBS2,16,9C,17.4,10.8,8.0,0.0,2.0,0.0,2.6823529411764704,18.554901960784314,1,"법정,가족",8.91875,2018-04-25
762,미스트리스,OCN,12,24C,11.2,13.8,5.0,13.0,0.0,0.0,3.3378378378378373,18.164864864864864,0,"수사물,서스펜스,액션,드라마",1.2416666666666667,2018-04-28
763,우리가 만난 기적,KBS2,18,3C,16.6,25.8,14.0,1.0,7.0,1.0,4.396551724137931,15.4551724137931,0,"판타지,가족,로맨스",10.983333333333333,2018-04-02
764,데릴남편 오작두,MBC,24,11C,33.0,10.4,14.0,0.0,6.0,0.0,4.391025641025641,12.474358974358973,0,로맨스,10.420833333333333,2018-03-03
765,밥 잘 사주는 예쁜 누나,JTBC,16,21C,11.6,14.8,14.0,1.0,0.0,0.0,4.564705882352942,14.733333333333333,0,"로맨스,드라마",5.475,2018-03-30
766,나의 아저씨,tvN,16,9C,26.8,20.0,14.0,0.0,4.0,0.0,3.996551724137931,13.901724137931032,0,드라마,4.975,2018-03-21
767,스위치 - 세상을 바꿔라,SBS,32,9C,28.0,23.2,0.0,0.0,3.0,1.0,4.376470588235295,14.66078431372549,0,"수사물,서스펜스,액션",6.143333333333333,2018-03-28
768,시를 잊은 그대에게,tvN,16,3C,20.6,6.4,11.0,0.0,17.0,0.0,3.9215686274509802,14.268627450980391,0,드라마,1.0125,2018-03-26
769,"손 꼭 잡고, 지는 석양을 바라보자",MBC,32,9C,30.2,13.0,8.0,0.0,31.0,13.0,3.6980392156862743,13.109803921568627,0,드라마,3.4599999999999995,2018-03-21
770,"미치겠다, 너땜에!",MBC,4,3C,7.2,5.8,0.0,0.0,0.0,0.0,6.25,15.75,0,로맨스,2.375,2018-05-07
771,대군 - 사랑을 그리다,TV조선,20,24C,18.4,4.0,12.0,0.0,0.0,0.0,4.264615384615384,11.412307692307692,0,드라마,2.97,2018-03-03
772,라이브(Live),tvN,18,24C,38.0,48.2,9.0,1.0,22.0,1.0,3.9172413793103447,12.070689655172412,0,드라마,5.794444444444444,2018-03-10
773,착한마녀전,SBS,40,11C,19.2,1.6,24.0,1.0,8.0,1.0,4.0265625,11.3421875,0,"드라마,로맨스,코메디",7.276666666666666,2018-03-03
774,EXIT,SBS,4,3C,22.2,12.4,0.0,0.0,0.0,0.0,0.25,18.700000000000003,0,드라마,4.8,2018-04-30
