,드라마 이름,방송사,부작,요일시간,배우_방송,배우_영화,연출_드라마,연출_영화,작가_드라마,작가_영화,강수량,기온,스포츠 대회,장르,평균시청률,start
494,"킬미, 힐미",MBC,20,9C,19.6,6.6,10.0,0.0,12.0,0.0,0.6892307692307693,1.7092307692307693,0,로맨스,10.129999999999999,2015-01-07
495,하트투하트,tvN,16,21B,25.0,10.2,9.0,0.0,0.0,0.0,0.7706896551724138,1.7465517241379311,0,로맨스,1.53125,2015-01-09
496,스파이,KBS2,16,10B,27.6,18.4,14.0,7.0,8.0,1.0,0.7842105263157895,1.7017543859649125,0,"서스펜스,가족",4.975,2015-01-09
497,아임쏘리 강남구,SBS,120,22A,10.4,3.0,3.0,0.0,6.0,0.0,1.386705202312138,8.420231213872828,0,드라마,11.823333333333332,2016-12-19
498,사랑은 방울방울,SBS,120,22A,14.2,2.8,0.0,0.0,5.0,0.0,1.2390374331550797,7.4187165775401045,0,드라마,7.709999999999999,2016-11-28
499,황금주머니,MBC,122,22B,23.2,5.0,11.0,0.0,8.0,0.0,1.2574999999999996,7.352999999999997,0,드라마,8.379999999999999,2016-11-14
500,빛나라 은수,KBS1,125,22B,25.2,3.8,4.0,1.0,2.0,0.0,1.2583333333333329,6.894999999999998,0,드라마,26.519999999999996,2016-11-28
501,행복을 주는 사람,MBC,118,22B,35.8,8.8,8.0,1.0,10.0,0.0,1.2803468208092479,5.817341040462425,0,드라마,8.933333333333334,2016-11-21
502,아버님 제가 모실게요,MBC,50,24C,34.6,3.6,11.0,0.0,8.0,0.0,1.2796610169491522,5.752542372881353,0,드라마,12.673333333333336,2016-11-12
503,"다시, 첫사랑",KBS2,104,22B,28.0,4.0,10.0,0.0,5.0,0.0,1.3620689655172409,4.335172413793103,0,드라마,21.933333333333334,2016-11-28
504,언제나 봄날,MBC,122,22A,20.2,5.4,12.0,1.0,0.0,0.0,1.3289017341040459,4.959537572254336,0,드라마,11.009999999999998,2016-10-31
505,우리 갑순이,SBS,61,11C,46.0,9.6,9.0,0.0,17.0,1.0,2.5760000000000023,8.495999999999995,0,드라마,14.463333333333335,2016-08-27
506,불어라 미풍아,MBC,53,24C,17.6,10.0,12.0,1.0,7.0,0.0,2.8500000000000023,8.755978260869556,0,드라마,16.54,2016-08-27
507,월계수 양복점 신사들,KBS2,54,24B,30.2,17.0,16.0,0.0,11.0,0.0,2.8500000000000023,8.755978260869556,0,"가족,로맨스,코메디",30.673333333333332,2016-08-27
508,TV소설 저 하늘에 태양이,KBS2,121,22A,21.0,4.6,10.0,0.0,0.0,0.0,2.5403508771929855,7.943274853801163,0,드라마,10.633333333333333,2016-09-07
509,화랑,KBS2,20,3C,15.0,7.0,10.0,0.0,8.0,0.0,1.3169230769230766,1.0384615384615385,0,"사극,로맨스,드라마",8.4,2016-12-19
510,솔로몬의 위증,JTBC,12,21B,14.4,11.6,6.0,0.0,0.0,0.0,1.5272727272727273,1.1227272727272732,0,드라마,1.175,2016-12-16
511,푸른 바다의 전설,SBS,20,9C,13.4,11.8,19.0,0.0,8.0,0.0,1.298591549295774,2.6647887323943658,0,"판타지,로맨스,코메디,드라마",17.595,2016-11-16
512,불야성,MBC,20,1B,14.0,9.6,7.0,0.0,9.0,3.0,1.2030769230769225,2.1846153846153844,0,"드라마,막장",4.614999999999999,2016-11-21
513,도깨비,tvN,16,21B,18.4,8.6,22.0,0.0,13.0,2.0,1.3941176470588232,2.1392156862745098,0,"판타지,로맨스,코메디,드라마",13.34375,2016-12-02
514,낭만닥터 김사부,SBS,20,3C,17.8,26.8,16.0,0.0,17.0,0.0,1.409859154929577,4.242253521126759,0,"메디컬,로맨스,드라마",20.384999999999998,2016-11-07
515,역도요정 김복주,MBC,16,9C,20.8,13.0,10.0,0.0,10.0,0.0,1.5280701754385961,3.9807017543859633,0,"로맨스,코메디",4.61875,2016-11-16
516,오 마이 금비,KBS2,16,9C,23.8,8.8,15.0,1.0,0.0,0.0,1.5280701754385961,3.9807017543859633,0,가족,6.05625,2016-11-16
